item,dataType,default,description
height,float,175,User's height (cm)
weight,float,65,User's weight (kg)
gender,str,male,User's gender
period,str,none,"Summary of user's menstrual issues, if male, set to 'none'"
menopause,str,none,"Has the user undergone menopause, if male, set to 'none', if age is under 50, set to 'none'"
defecation,str,normal,"Summary of user's defecation status, if overall normal, set to 'normal'"
meals,str,normal,"Are the user's meals regular, if normal, set to 'normal'"
mouth,str,normal,"Summary of user's oral condition, including bitterness, dryness, bad breath, and thirst, if normal, set to 'normal'"
urine,str,normal,"Summary of user's urine condition, if not thirsty, set to 'normal'"
sleep,str,normal,"Summary of user's sleep condition, including sleep duration, shallow sleep issues, difficulty falling asleep, and early waking, if normal, set to 'normal'"
phone,str,normal,"Does the user use a phone before bed, if sleep is normal, set to 'none'"
stay_up,str,normal,Does the user often stay up late
pressure,str,normal,"Is the user under any stress and its causes, if none, set to 'none'"
summary,str,unknown,"Running summary of conversation. Update this with new input"
